name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Felix Lezzetli Dilimler Yaş Mama Ton Balıklı 80G,,https://www.migros.com.tr/felix-lezzetli-dilimler-yas-mama-ton-balikli-80g-p-280bbb9,Pet Shop,Kedi,Kedi Maması,,,,,,,
Dardanel Jazzy Kedi Maması Ton Balıklı 95 G,,https://www.migros.com.tr/dardanel-jazzy-kedi-mamasi-ton-balikli-95-g-p-271ff5c,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Sensation Etli Domatesli Yaş Mama 85G,,https://www.migros.com.tr/felix-sensation-etli-domatesli-yas-mama-85g-p-280beed,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bonnie Balıklı Kedi Konservesi Sos İçinde 415 G,,https://www.migros.com.tr/bonnie-balikli-kedi-konservesi-sos-icinde-415-g-p-8a8d47,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bonnie Ciğerli Kedi Konserve Sos İçinde 415 G,,https://www.migros.com.tr/bonnie-cigerli-kedi-konserve-sos-icinde-415-g-p-271fedd,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Sığır Etli Yetişkin Kedi Konserve 400G,,https://www.migros.com.tr/bestpet-sigir-etli-yetiskin-kedi-konserve-400g-p-280d9c9,Pet Shop,Kedi,Kedi Maması,,,,,,,
Perfect Fit Yetişkin Tavuklu Kuru Mama 750 G,,https://www.migros.com.tr/perfect-fit-yetiskin-tavuklu-kuru-mama-750-g-p-271ff56,Pet Shop,Kedi,Kedi Maması,,,,,,,
Sheba Fresh & Fine Balık Seçkisi Yaş Mama 300 G (6x50G),,https://www.migros.com.tr/sheba-fresh-fine-balik-seckisi-yas-mama-300-g-6x50g-p-271ff71,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Kuru Kedi Maması Sığır Etli Tavuklu 1.5 Kg,,https://www.migros.com.tr/felix-kuru-kedi-mamasi-sigir-etli-tavuklu-15-kg-p-280be8f,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Premium Somonlu Kedi Pounch 85 G,,https://www.migros.com.tr/bestpet-premium-somonlu-kedi-pounch-85-g-p-271ff40,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Somon Etli Yetişkin Kedi Konservesi 400G,,https://www.migros.com.tr/bestpet-somon-etli-yetiskin-kedi-konservesi-400g-p-280d9c8,Pet Shop,Kedi,Kedi Maması,,,,,,,
Sheba Fresh & Fine Kümes Hayvanları Yaş Mama 300 G (6x50G),,https://www.migros.com.tr/sheba-fresh-fine-kumes-hayvanlari-yas-mama-300-g-6x50g-p-271ff70,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Kuzu Etli Yaş Yetişkin Kedi Maması 85G,,https://www.migros.com.tr/bestpet-kuzu-etli-yas-yetiskin-kedi-mamasi-85g-p-280d656,Pet Shop,Kedi,Kedi Maması,,,,,,,
Dardanel Jazzy Kedi Maması Tavuklu 95 G,,https://www.migros.com.tr/dardanel-jazzy-kedi-mamasi-tavuklu-95-g-p-271ff5b,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bonnie Chicken Premium Adult Kuru Kedi Maması 500 G,,https://www.migros.com.tr/bonnie-chicken-premium-adult-kuru-kedi-mamasi-500-g-p-8aa8a9,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Ton Balıklı&Hamsili Yetişkin Kedi Pouch 85 G,,https://www.migros.com.tr/bestpet-ton-baliklihamsili-yetiskin-kedi-pouch-85-g-p-280d657,Pet Shop,Kedi,Kedi Maması,,,,,,,
Sheba Fresh & Fine Et Seçkisi Yaş Mama 300 G (6x50G),,https://www.migros.com.tr/sheba-fresh-fine-et-seckisi-yas-mama-300-g-6x50g-p-271ff72,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Ciğerli Kedi Pouch 85 G,,https://www.migros.com.tr/bestpet-cigerli-kedi-pouch-85-g-p-280bf3f,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Lezzetli Dilimler Yaş Mama Tavuklu 80G,,https://www.migros.com.tr/felix-lezzetli-dilimler-yas-mama-tavuklu-80g-p-280bbb8,Pet Shop,Kedi,Kedi Maması,,,,,,,
Dardanel Jazzy Kedi Maması Etli 95 G,,https://www.migros.com.tr/dardanel-jazzy-kedi-mamasi-etli-95-g-p-271ff5a,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Kuru Kedi Maması Somonlu 1.5 Kg,,https://www.migros.com.tr/felix-kuru-kedi-mamasi-somonlu-15-kg-p-280be89,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bonnie Seafood Adult Kuru Kedi Maması 500 G,,https://www.migros.com.tr/bonnie-seafood-adult-kuru-kedi-mamasi-500-g-p-8aa8aa,Pet Shop,Kedi,Kedi Maması,,,,,,,
Purina One Sığır Etli Yetişkin Kedi Maması 1.5 Kg,,https://www.migros.com.tr/purina-one-sigir-etli-yetiskin-kedi-mamasi-15-kg-p-280bcbc,Pet Shop,Kedi,Kedi Maması,,,,,,,
"Bonnie Yavru Kedi Maması Tavuklu 1,5 Kg",,https://www.migros.com.tr/bonnie-yavru-kedi-mamasi-tavuklu-15-kg-p-271fefa,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Premium Sığır Etli Pouch 85 G,,https://www.migros.com.tr/bestpet-premium-sigir-etli-pouch-85-g-p-271ff3d,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bonnie Cocktail Adult Kuru Kedi Maması 500 G,,https://www.migros.com.tr/bonnie-cocktail-adult-kuru-kedi-mamasi-500-g-p-8aa8ab,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bonnie Natural Premium Adult Kuru Kedi Maması 500 G,,https://www.migros.com.tr/bonnie-natural-premium-adult-kuru-kedi-mamasi-500-g-p-8aa8a8,Pet Shop,Kedi,Kedi Maması,,,,,,,
Ak Kedi Kumu İnce Taneli Marsilya Sabun Kokulu 5 L,,https://www.migros.com.tr/ak-kedi-kumu-ince-taneli-marsilya-sabun-kokulu-5-l-p-272d2f8,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Mırmır Bentonit Ekstra Güçlü Kutu Kedi Kumu 5 Lt,,https://www.migros.com.tr/mirmir-bentonit-ekstra-guclu-kutu-kedi-kumu-5-lt-p-272d2f5,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Gizmo Topaklanan İnce Taneli Kedi Kumu 5 L,,https://www.migros.com.tr/gizmo-topaklanan-ince-taneli-kedi-kumu-5-l-p-280bf13,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Mırmır Bentonit Ultra Parfümlü Kutu Kedi Kumu 5L,,https://www.migros.com.tr/mirmir-bentonit-ultra-parfumlu-kutu-kedi-kumu-5l-p-272d2f7,Pet Shop,Kedi,Kedi Kumu,,,,,,,
"Bonnie Silica Kedi Kumu 3,6 L",,https://www.migros.com.tr/bonniesilica-kedi-kumu-36-l-p-272d2f4,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Catwalk Premium Baby Powder Kedi Kumu 5L,,https://www.migros.com.tr/catwalk-premium-baby-powder-kedi-kumu-5l-p-280cd99,Pet Shop,Kedi,Kedi Kumu,,,,,,,
